idListaCobro,idCredito,consecutivoCobro,idBanco,montoExigible,montoCobrar,montoCobrado,fechaCobroBanco,idRespuestaBanco,fechaCreacionLista,fechaEnvioCobro,idEmisora
155938,738973,41396434,2,622.87,622.87,0.00,,04,02/01/2025 6:11AM,02/01/2025,5
155938,739017,41396435,2,1069.11,1069.11,0.00,,04,02/01/2025 6:11AM,02/01/2025,5
155939,739185,41396436,2,4340.83,4340.83,4340.83,02/01/2025,00,02/01/2025 6:11AM,02/01/2025,5
155940,732324,41396437,2,2134.21,2134.21,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155940,737028,41396438,2,815.76,815.76,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155940,737543,41396439,2,1214.56,1214.56,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,71507,41396440,2,179.85,179.85,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,71507,41396441,2,299.75,299.75,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,71507,41396442,2,119.90,119.90,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,279267,41396443,2,163.40,163.40,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,279267,41396444,2,245.10,245.10,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,279267,41396445,2,408.50,408.50,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,329377,41396446,2,517.68,517.68,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,329377,41396447,2,310.61,310.61,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,329377,41396448,2,207.07,207.07,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,372875,41396449,2,514.51,514.51,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,372875,41396450,2,308.71,308.71,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,380168,41396451,2,155.30,155.30,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,380168,41396452,2,258.84,258.84,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,380168,41396453,2,103.54,103.54,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,381534,41396454,2,237.37,237.37,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,381534,41396455,2,395.62,395.62,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,381534,41396456,2,158.25,158.25,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,388636,41396457,2,429.71,429.71,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,388636,41396458,2,1074.28,1074.28,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,388636,41396459,2,644.57,644.57,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
155941,407768,41396460,2,375.61,375.61,0.00,,04,02/01/2025 6:12AM,02/01/2025,5
